username,tweet,location,followers_count
ryanstruyk,"64% of voters say they are *not satisfied* with how the federal government is ensuring enough testing to determine how far coronavirus has spread via new NBC/WSJ poll.","Washington, DC",76489
ThisWeekABC,"Vice President Mike Pence says the U.S. is “slowing the spread” of the coronavirus.

“We continue to see steady progress and less cases, lower hospitalizations even in hot spots around the country.” https://t.co/RYU3nVyFAu https://t.co/lALyIpK07t",NULL,194911
BrainiacBrands,"How are you managing with little ones at home? https://t.co/encfG6FuCb #covid19 #coronavirus","United States",51378
dailystar,"#Coronavirus turns Chinese doctors' skin black after treatment  https://t.co/3Ps5bsUW5S https://t.co/WtovM3mnBU",London,200708
TheDailyEdge,"@NormOrnstein Tests per 1M/population:

1. Iceland: 126,429
3. UAE: 77,550
9. Estonia: 30,855
12. Israel:  27,763
15. Switzerland: 25,933
22. Germany: 20,629
25. Spain: 19,896
26: Latvia: 19,440
29: Ireland: 18,358
37: Russia: 14,070

40: USA: 12,070 https://t.co/S586jEnOHF #JesterOfTesting","Sign up for free email updates",185493
renoomokri,"Now do you understand why @realFemiOtedola sold Forte Oil and invested in a power company? Even after #CoronaVirus, oil will remain a fading product. That was the trajectory before #COVID19 affected #OilPrices. How will Nigeria will cope. High birth and low GDP

#BuhariTormentor","Currently on exile.",787939
GlobalEdmonton,"UPDATE: 4 more COVID-19 deaths reported as Alberta announces health-care aide supports, funding to better staff continuing care sites https://t.co/Rb4S6nkv71","Edmonton, AB",213916
MadWorldNews,"Report: NYC Police Have Thrown At Least 50 NYC Inmates Back In Jail After Releasing Them Over Coronavirus https://t.co/pG9s6lPSRq","Pennsylvania, USA",105905
ejeancarroll,"Who governs better in a crisis? Men or Women?

https://t.co/gpthS8Vz6e",NULL,51795
ABC,"Vice President Mike Pence says the U.S. is “slowing the spread” of the coronavirus.

“We continue to see steady progress and less cases, lower hospitalizations even in hot spots around the country.” https://t.co/ANxH2VANzj https://t.co/nVpgNmOLBh","New York City / Worldwide",15416319
markknoller,"Despite over 770K cases of Coronavirus in US and over 41K lost lives, "as we stand here today, we are slowing the spread" of the virus, @VP says he told Governors today. Cites decline in number of hospitalizations. Thanks Governors and said "we are all in this together." https://t.co/LMiKtFYFCV","Washington, D.C.",328051
LindseyThePlug,"Are creating music during this COVID-19 pandemic quarantine?","Raleigh, NC",114651
BresPolitico,"“The coronavirus pandemic has nearly crippled the tax collection agency, which relies on antiquated technology and still does a lot of business on paper, just as it is most needed to help pump money into the ailing economy.” ⁦@AaronELorenzo⁩  https://t.co/Zlmh5npSOY","Washington, D.C.",78350
ctvottawa,"Watch CTV News at Six LIVE NOW here: https://t.co/mZykZ8k9P0 
Amid the #COVID19 pandemic, CTV News is making our live local newscasts open to watch without a login on https://t.co/YE6H4ZsKbc. #ottnews #otthealth #CoronavirusPandemic #Coronavirus","Ottawa, Ontario",206021
WISH_TV,"Calling nursing homes ground zero of the coronavirus crisis, federal officials said they plan to start tracking and publicly sharing information on infections and deaths in such facilities to help spot trends and early signs the virus is spreading. https://t.co/Ul2dmTeNsz","Indianapolis, Indiana",202271
ksdknews,"Dr. Alex Garza — head of the task force — warned now is not the time to loosen social distancing restrictions https://t.co/Kvk9Sk59Ph","St. Louis, Missouri",237885
FedSoc,"[PODCAST] @KarenHarned &amp; James Paretti go over key provisions of the Families First Coronavirus Response Act. https://t.co/8ji8FUHCwl","Washington, D.C.",57849
Martin1Williams,"" That figure includes staff from a wide range of roles including; doctors, nurses, allied healthcare professionals, social care workers, ancillary staff and students."
https://t.co/xSrklfGG0C","Scotland, United Kingdom",68171
Public_Citizen,"Massive corporations — including Pharma giant Pfizer and multinational conglomerate Honeywell — publically committed to helping with the coronavirus response.

Privately, they're lobbying to block the mass production of needed COVID-19 medical supplies.","Washington, DC",233239
toledonews,"Kapszukiewicz calls coronavirus aid money “lifeline” the city needs during economic downturn. https://t.co/ObhB8rcoMy","Toledo, OH",77594
Hope012015,"As Coronavirus Deaths Reach 42,000, Trump Tweets Bizarre Video Mocking Obama and Biden https://t.co/bX7iNi5ZeE via @NicoleJames","Texas, USA",66762
nigeriantribune,"BREAKING: Nigeria confirms 38 new COVID-19 cases as total hits 665 https://t.co/CQGghbGJz9 https://t.co/7TdPAkEFWi",Nigeria,331724
MelissaOnline,"#CARESAct Won’t Save #MainStreet From #Coronavirus Shutdowns; 5 Retailers Share What Will via @forbes https://t.co/rlza4evrDU #SmallBusiness #SmallBiz #PPP #COVID19","Nashville, TN",121420
APCNigeria,"38 new cases of COVID-19 have just been reported in Nigeria.

To get up to date report + state by state breakdown of cases, at any time, simply click WhatsApp link below and say "hi"
https://t.co/Izw030DZaC https://t.co/JjDVzYhtkt",Nigeria,932007
pmnewsnigeria,"Breaking: Another 38 new Coronavirus cases hit Nigeria https://t.co/pNr9wK8JRM https://t.co/BCQcLDdokx","Lagos, Nigeria",539874
usatodayDC,"Antibody testing: Instead of looking in our throats for coronavirus, health care workers look for signs in blood that we developed antibodies to fight the virus.
https://t.co/WnWcFt3Fzf","Washington, D.C.",213130
TrumpWarRoom,"April 19: President Trump held calls with the head of the Eastern Orthodox Church Archbishop Bartholomew I, Turkish President Erdogan, and President of the Philippines Rodrigo Duterte about the response to the coronavirus pandemic","MAGA Country",595592
TrumpWarRoom,"April 19: CMS Administrator Verma announced new requirements for nursing homes to report outbreaks of coronavirus to patients, patients’ families, and the CDC","MAGA Country",595592
TrumpWarRoom,"April 19: President Trump announced that 4.18 million coronavirus tests have been completed to date – more tests than France, The U.K., South Korea, Japan, Singapore, India, Austria, Australia, Sweden, and Canada combined","MAGA Country",595592
TheDailyEdge,"@Yamiche Tests per 1M/population:

1. Iceland: 126,429
3. UAE: 77,550
9. Estonia: 30,855
12. Israel:  27,763
15. Switzerland: 25,933
22. Germany: 20,629
25. Spain: 19,896
26: Latvia: 19,440
29: Ireland: 18,358
37: Russia: 14,070

40: USA: 12,065
Source: https://t.co/S586jEnOHF","Sign up for free email updates",185493
TrumpWarRoom,"April 18: President Trump consulted with FEMA and military officials about the coronavirus response","MAGA Country",595592
TrumpWarRoom,"April 18: President Trump announced that over 4 million coronavirus tests have been completed to date, double the number of tests done by any other country","MAGA Country",595592
TrumpWarRoom,"April 17: The USDA approved the Pandemic Electronic Benefit Transfer for North Carolina and Massachusetts, which will help feed children eligible for USDA school lunch programs who are now at home during the coronavirus outbreak","MAGA Country",595592
KTSMtv,"BREAKING: El Paso is now reporting its ninth death associated with COVID-19 as the City says 13 patients are in the ICU and nine are on ventilators. https://t.co/aqwsLydszO","El Paso, Texas",79114
mmfa,"Promotion, praise, and a ton of coverage: How Fox News embraced protests against coronavirus safety measures https://t.co/0U8NTuqQym https://t.co/pVf3gMdsrp","Washington, DC",419406
TrumpWarRoom,"April 17: The DOJ filed an injunction to halt the online sale of a supposed “miracle” treatment for the coronavirus which is “unapproved, unproven, and potentially dangerous”","MAGA Country",595592
LatuffCartoons,"In the 70's the Japanese TV series Ultraman predicted both coronavirus and #OilCrash! https://t.co/3Cz18rebi3",Brazil,100140
WFLA,"Hillsborough County offering 3 new COVID-19 testing sites this week https://t.co/qtL3aHlpGj https://t.co/mSZGuVLKVW","Tampa, FL",155413
rolandsmartin,".@JoeBiden is not playing around with Trump. His campaign released a new ad that SMACKS Trump for his handling of the #coronavirus. Watch #RolandMartinUnfiltered on#Facebook https://t.co/hTLBPBB7PB YouTube https://t.co/lVCBCRq7BK","Washington, D.C.",548846
CTVCalgary,"Risk of COVID-19 in pets very low, research shows. @CTVBMacfarlane reports:  https://t.co/BXHK2jc1q3  #yyc","Calgary, Alberta, Canada",176737
dailystar,"Furious woman brands couple 'selfish idiots' for having BBQ during Covid-19 lockdown
https://t.co/JoOZo6GQHX https://t.co/T5EyeM5qPg",London,200704
dailystar,"Spain tourism restrictions to last until end of year in blow to Brit holidaymakers

https://t.co/Fx7ZvwUScQ https://t.co/6EYtI5hDgQ",London,200708
